version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
combat,CN_to_MCI,2,contrastive_euclidean_probe,102,7,0.47067669172932336,0.2687971859986273,0.6527777777777777,-0.11217047689387882,-0.331702470461869,0.14226804123711345,0.34460676405843504
combat,CN_to_MCI,2,contrastive_euclidean_s,102,7,0.6421052631578947,0.4355843625599674,0.8368055555555556,0.05872115111986733,-0.14021617925520719,0.2630434782608695,0.5479287572543526
combat,CN_to_MCI,2,contrastive_euclidean_finetune,102,7,0.3278195488721805,0.17918505942275043,0.4767266380236303,-0.25593116187263504,-0.5118815708101422,0.06631970551378373,0.10966579947968781
combat,CN_to_MCI,2,contrastive_rank_kendall_basic_probe,102,7,0.5218045112781955,0.27493055555555557,0.7546854618135912,-0.062383801442930834,-0.4076641526175687,0.23521660451853388,0.7244346607964779
combat,CN_to_MCI,2,contrastive_rank_kendall_basic_s,102,7,0.5744360902255639,0.3245854591836735,0.8367346938775511,-0.007731142438083851,-0.3563954440556839,0.35882409793814396,0.9669801881128677
combat,CN_to_MCI,2,contrastive_rank_kendall_basic_finetune,102,7,0.31278195488721805,0.10965232484746475,0.5479320451584886,-0.2709656152935902,-0.6577750894172102,0.1550434782608693,0.19131478887332398
combat,CN_to_MCI,2,contrastive_hybrid_basic_probe,102,7,0.5609022556390977,0.3322094464885618,0.7777777777777777,-0.021592135617010098,-0.20795345513932834,0.20150644468313644,0.7808685211126676
combat,CN_to_MCI,2,contrastive_hybrid_basic_s,102,7,0.5278195488721804,0.3443298969072165,0.7100731382978724,-0.05491877726193631,-0.3814638626891863,0.3131583880037487,0.7260356213728237
combat,CN_to_MCI,2,contrastive_hybrid_basic_finetune,102,7,0.39849624060150374,0.24536082474226806,0.5474769397721101,-0.18540630126590107,-0.43877551020408156,0.0888659793814422,0.1604962977786672
combat,CN_to_MCI,3,ridge_dhat_finetune,78,13,0.5633136094674556,0.38186642228612755,0.7341682566821951,-0.02489831378547592,-0.13432835820895517,0.07828282828282818,0.6768
combat,CN_to_MCI,3,ridge_dhat_all,78,13,0.5881656804733728,0.40828240252897785,0.7588406385281385,,,,
combat,CN_to_MCI,3,direct_logistic,78,13,0.5810650887573965,0.4118343195266272,0.7476255088195387,-0.006286188835325726,-0.2605205708470634,0.2410808601609657,0.9612
combat,CN_to_MCI,3,contrastive_euclidean_probe,78,13,0.5822485207100592,0.42622465806576776,0.7310789049919484,-0.005932276560345157,-0.17775246428286384,0.17038435146134318,0.9484
combat,CN_to_MCI,3,contrastive_euclidean_s,78,13,0.46272189349112425,0.2836992101864921,0.6441620138858493,-0.1250838891641505,-0.3616239520740454,0.09737965131407723,0.2908
combat,CN_to_MCI,3,contrastive_euclidean_finetune,78,13,0.48520710059171596,0.29522400676246824,0.6770691994572592,-0.10335041690209378,-0.3123993558776168,0.08955459445198245,0.322
